Fecha,C (L/min)
2019-08-27,7.6484743966665665
2019-09-02,6.675030849455376
2019-09-06,7.997757324546799
2019-09-07,7.779904868994704
2019-09-10,9.273396719786563
2019-09-13,9.16027340545133
2019-09-16,8.681898565308924
2019-09-24,7.830959514238113
2019-09-29,7.7111107805650745
2019-10-11,5.881204538686604
2019-10-21,6.594105822155791
2019-10-29,5.979409285017123
2019-10-31,6.338081403060974
2019-11-04,6.27128110928339
2019-11-10,6.315588110431043
2019-11-19,6.407735289292657
2019-11-27,5.991969911892142
2019-12-04,5.594558681217521
2019-12-17,3.5739809120128987
2019-12-24,5.541428125858311
2019-12-26,5.175033411675815
2019-12-31,4.871014505160845
2020-01-07,4.537187897125905
2020-01-16,4.695765284000578
2020-01-21,3.8635710609169234
2020-01-29,3.440085398891699
2020-02-04,2.195121951219512
2020-02-11,2.6999999999999993
2020-02-18,3.999999999999999
2020-03-03,3.7
2020-03-11,3.9000000000000004
2020-03-19,3.6670590348587786
2020-03-25,4.049997693833308
2020-04-01,4.066666666666667
2020-04-15,2.922222222222223
2020-04-29,2.85
2020-05-14,3.0666666666666664
2020-05-27,3.0666666666666664
2020-06-13,3.199999999999999
2020-06-25,3.9000000000000004
2020-07-15,7.800000000000001
2020-07-31,7.733333333333332
