,codigo,Ca,Mg,K,Na,Cl,SO4,HCO3,CO3,err
0,PT01,1.75,1.81,0.05,1.53,1.8,1.48,2.2,,3.04
1,PT02,0.06,0.23,0.03,0.7,0.68,,0.23,,6.2
2,PT03,0.32,0.95,0.02,0.97,1.02,,0.26,,27.76
3,PT04,0.81,0.82,0.04,1.1,1.14,0.23,0.79,0.39,4.39
4,PT05,0.46,0.7,0.04,1.05,0.94,0.24,0.56,0.12,9.54
5,PT06,0.15,0.19,0.04,0.66,0.57,,0.41,,2.41
6,PT07,1.26,0.58,0.07,1.15,0.95,0.29,0.91,,17.31
7,PT08,0.38,0.86,0.03,1.52,1.39,,0.16,,28.67
8,PT09,0.12,0.37,0.01,0.62,0.74,,0.29,,4.45
9,PT10,0.1,0.7,0.02,0.73,0.78,,0.38,,14.62
10,PT11,0.13,0.74,0.03,1.07,1.06,,0.21,,21.55
11,PT12,0.47,0.37,0.32,0.99,0.9,0.83,0.5,,1.47
